time,field.x,field.y,field.z
1460464697073776006,1338.0,942.0,0.577241539955
1460464697119978904,1336.0,943.0,0.551192760468
1460464697156512022,1334.0,943.0,0.581353545189
1460464697192878007,1331.0,943.0,0.573399782181
1460464697229679107,1329.0,944.0,0.569855034351
1460464697266454935,1326.0,944.0,0.590705394745
1460464697303637981,1323.0,944.0,0.572103738785
1460464697340264081,1320.0,945.0,0.562192380428
1460464697377110004,1318.0,945.0,0.562389791012
1460464697413851976,1314.0,945.0,0.557974338531
1460464697450994968,1311.0,946.0,0.544998347759
1460464697487780094,1308.0,946.0,0.578864693642
1460464697524466037,1305.0,946.0,0.582812786102
1460464697561352014,1302.0,947.0,0.54944896698
1460464697598201036,1299.0,947.0,0.554499745369
1460464697635273933,1295.0,947.0,0.58381652832
1460464697672441005,1292.0,948.0,0.542491555214
1460464697709772109,1288.0,948.0,0.579911291599
1460464697746733903,1285.0,948.0,0.552190840244
1460464697783621072,1281.0,949.0,0.5826395154
1460464697820251941,1277.0,950.0,0.537551879883
1460464697857839107,1274.0,950.0,0.553624391556
1460464697894898891,1270.0,951.0,0.563428282738
1460464697931641101,1266.0,951.0,0.563475906849
1460464697968386888,1262.0,952.0,0.569112896919
1460464698005033016,1258.0,953.0,0.57230848074
1460464698038347959,1254.0,954.0,0.565754771233
1460464698078887939,1250.0,955.0,0.55378895998
1460464698115354061,1245.0,956.0,0.52488130331
1460464698152090072,1241.0,956.0,0.553757846355
1460464698187700986,1237.0,957.0,0.5561439991
1460464698224847078,1233.0,958.0,0.555514276028
1460464698261960983,1228.0,959.0,0.538471698761
1460464698298927068,1224.0,960.0,0.553819417953
1460464698335895061,1219.0,961.0,0.541591584682
1460464698372519969,1215.0,962.0,0.553697943687
1460464698409574985,1211.0,963.0,0.547086715698
1460464698446563005,1206.0,964.0,0.548585534096
1460464698483428001,1202.0,965.0,0.536730408669
1460464698520133018,1197.0,967.0,0.545177936554
1460464698556806087,1193.0,968.0,0.543378412724
1460464698593414068,1188.0,969.0,0.540544629097
1460464698630891084,1184.0,970.0,0.544920265675
1460464698668596029,1179.0,972.0,0.540601074696
1460464698702100992,1175.0,973.0,0.539221346378
1460464698744175910,1170.0,975.0,0.530474305153
1460464698781642913,1166.0,976.0,0.540188252926
1460464698819242954,1161.0,978.0,0.52555757761
1460464698856578111,1156.0,979.0,0.532923400402
1460464698894017934,1147.0,982.0,0.530443668365
1460464698931921005,1138.0,986.0,0.523094117641
1460464698969348907,1128.0,989.0,0.514748513699
1460464699006683111,1114.0,994.0,0.536005616188
1460464699044282913,1104.0,997.0,0.534351050854
1460464699082053899,1089.0,1000.0,0.537705183029
1460464699116096019,1079.0,1002.0,0.531076312065
1460464699157937049,1064.0,1003.0,0.519152998924
1460464699195739030,1048.0,1004.0,0.524299502373
1460464699232978105,1032.0,1005.0,0.528997242451
1460464699270507097,1016.0,1005.0,0.528123915195
1460464699308177947,1000.0,1005.0,0.517802536488
1460464699345855951,984.0,1005.0,0.504241883755
1460464699383277893,967.0,1006.0,0.501664102077
1460464699420326948,951.0,1006.0,0.523922979832
1460464699457289934,934.0,1007.0,0.500216662884
1460464699494558095,912.0,1007.0,0.519058942795
1460464699532569885,896.0,1007.0,0.511893391609
1460464699570184946,879.0,1006.0,0.516278028488
1460464699607441902,858.0,1004.0,0.52168494463
1460464699645139932,842.0,1003.0,0.499968379736
1460464699683079004,822.0,1000.0,0.523117125034
1460464699712342977,807.0,999.0,0.526525080204
1460464699758718013,792.0,998.0,0.519549667835
1460464699795840978,772.0,996.0,0.533249795437
1460464699833108901,757.0,995.0,0.514683485031
1460464699869621038,743.0,995.0,0.509222924709
1460464699906696081,723.0,995.0,0.522808253765
1460464699944334983,709.0,996.0,0.53140860796
1460464699981097936,690.0,999.0,0.528968632221
1460464700022038936,677.0,1001.0,0.534123003483
1460464700060574054,664.0,1004.0,0.538798213005
1460464700095571041,648.0,1008.0,0.526417851448
1460464700138050079,637.0,1011.0,0.537756383419
1460464700175956010,626.0,1014.0,0.535435080528
1460464700213242053,612.0,1020.0,0.540672838688
1460464700255069017,603.0,1025.0,0.54970574379
1460464700292923927,592.0,1032.0,0.562700688839
1460464700338254928,586.0,1038.0,0.543040692806
1460464700383800983,580.0,1043.0,0.549099385738
1460464700441276073,573.0,1052.0,0.552106559277
1460464700499109983,568.0,1058.0,0.55604493618
1460464700543582916,563.0,1063.0,0.547219872475
1460464700585012912,556.0,1068.0,0.579071938992
1460464700630635976,551.0,1072.0,0.584032177925
1460464700670258045,546.0,1075.0,0.568488895893
1460464700709430932,539.0,1078.0,0.580872952938
1460464700748625993,532.0,1079.0,0.543358623981
1460464700782392978,525.0,1079.0,0.51855880022
1460464700815738916,516.0,1076.0,0.506216287613
1460464700866372108,511.0,1073.0,0.565750837326
